scene,dice,iou,precision,recall,specificity
2018_09_26,0.6869549153032272,0.5231769444244802,0.6544066786689492,0.7229103187021492,0.9861505091656475
2018_12_19_d,0.7127061637089165,0.553646839296943,0.5982789828371141,0.8812556178434077,0.9851990210376121
2018_12_19_e,0.8283743090856795,0.7070298265987246,0.7834515951892458,0.8787620772947592,0.998818506252109
2018_12_19_f_,0.4422401495084447,0.2838949465598967,0.30196439367975414,0.8259131895846449,0.8424152073997785
20191015,0.5209071149101182,0.35218012348053523,0.49453729256808626,0.5502475303607288,0.9684409219806219
20200224_b,0.14355980366874527,0.07733069126219556,0.9990651517330715,0.07733628732433183,0.9999992289312584
20200319b,0.7989597176377163,0.6652230814993069,0.8946206278601758,0.7217804399464772,0.9990764911036899
